Section,X(cm),Y(cm),Z(cm)
C0,0.0,269.01,-27.75
C4.5,360.0,214.54,-27.75
C4.5,360.0,201.4,-18.5
C4.5,360.0,188.27,-9.25
C4.5,360.0,18.3,0
C4.5,360.0,18.3,10.0
C4.5,360.0,18.3,20.0
C4.5,360.0,18.3,30.0
C4.5,360.0,18.3,40.0
C4.5,360.0,18.3,50.0
C5,400.0,214.11,-37.0
C0,0.0,252.54,-18.5
C5,400.0,201.76,-27.75
C5,400.0,189.41,-18.5
C5,400.0,177.05,-9.25
C5,400.0,17.29,0
C5,400.0,17.29,10.0
C5,400.0,17.29,20.0
C5,400.0,17.29,30.0
C5,400.0,17.29,40.0
C5,400.0,17.29,50.0
C5.5,440.0,199.12,-37.0
C0,0.0,236.07,-9.25
C5.5,440.0,187.63,-27.75
C5.5,440.0,176.15,-18.5
C5.5,440.0,164.66,-9.25
C5.5,440.0,16.16,0
C5.5,440.0,16.16,10.0
C5.5,440.0,16.16,20.0
C5.5,440.0,16.16,30.0
C5.5,440.0,16.16,40.0
C5.5,440.0,16.16,50.0
C6,480.0,182.71,-37.0
C0,0.0,21.96,0
C6,480.0,172.17,-27.75
C6,480.0,161.63,-18.5
C6,480.0,151.08,-9.25
C6,480.0,14.9,0
C6,480.0,14.9,10.0
C6,480.0,14.9,20.0
C6,480.0,14.9,30.0
C6,480.0,14.9,40.0
C6,480.0,14.9,50.0
C6.5,520.0,164.86,-37.0
C0,0.0,21.96,10.0
C6.5,520.0,155.35,-27.75
C6.5,520.0,145.84,-18.5
C6.5,520.0,136.33,-9.25
C6.5,520.0,13.51,0
C6.5,520.0,13.51,10.0
C6.5,520.0,13.51,20.0
C6.5,520.0,13.51,30.0
C6.5,520.0,13.51,40.0
C6.5,520.0,13.51,50.0
C7,560.0,145.59,-37.0
C0,0.0,21.96,20.0
C7,560.0,137.2,-27.75
C7,560.0,128.8,-18.5
C7,560.0,120.4,-9.25
C7,560.0,11.98,0
C7,560.0,11.98,10.0
C7,560.0,11.98,20.0
C7,560.0,11.98,30.0
C7,560.0,11.98,40.0
C7,560.0,11.98,50.0
C7.5,600.0,124.9,-37.0
C0,0.0,21.96,30.0
C7.5,600.0,117.69,-27.75
C7.5,600.0,110.49,-18.5
C7.5,600.0,103.28,-9.25
C7.5,600.0,10.33,0
C7.5,600.0,10.33,10.0
C7.5,600.0,10.33,20.0
C7.5,600.0,10.33,30.0
C7.5,600.0,10.33,40.0
C7.5,600.0,10.33,50.0
C8,640.0,102.77,-37.0
C0,0.0,21.96,40.0
C8,640.0,96.84,-27.75
C8,640.0,90.91,-18.5
C8,640.0,84.99,-9.25
C8,640.0,8.54,0
C8,640.0,8.54,10.0
C8,640.0,8.54,20.0
C8,640.0,8.54,30.0
C8,640.0,8.54,40.0
C8,640.0,8.54,50.0
C8.5,680.0,79.22,-37.0
C0,0.0,21.96,50.0
C8.5,680.0,74.65,-27.75
C8.5,680.0,70.08,-18.5
C8.5,680.0,65.51,-9.25
C8.5,680.0,6.61,0
C8.5,680.0,6.61,10.0
C8.5,680.0,6.61,20.0
C8.5,680.0,6.61,30.0
C8.5,680.0,6.61,40.0
C8.5,680.0,6.61,50.0
C9,720.0,54.24,-37.0
C0.5,40.0,284.77,-37.0
C9,720.0,51.11,-27.75
C9,720.0,47.98,-18.5
C9,720.0,44.85,-9.25
C9,720.0,4.55,0
C9,720.0,4.55,10.0
C9,720.0,4.55,20.0
C9,720.0,4.55,30.0
C9,720.0,4.55,40.0
C9,720.0,4.55,50.0
C9.5,760.0,27.83,-37.0
C0.5,40.0,268.34,-27.75
C9.5,760.0,26.23,-27.75
C9.5,760.0,24.62,-18.5
C9.5,760.0,23.02,-9.25
C9.5,760.0,2.34,0
C9.5,760.0,2.34,10.0
C9.5,760.0,2.34,20.0
C9.5,760.0,2.34,30.0
C9.5,760.0,2.34,40.0
C9.5,760.0,2.34,50.0
C10,800.0,0.0,-37.0
C0.5,40.0,251.91,-18.5
C10,800.0,0.0,-27.75
C10,800.0,0.0,-18.5
C10,800.0,0.0,-9.25
C10,800.0,0.0,0
C10,800.0,0.0,10.0
C10,800.0,0.0,20.0
C10,800.0,0.0,30.0
C10,800.0,0.0,40.0
C10,800.0,0.0,50.0
Cav1,880.0,-59.95,-37.0
C0.5,40.0,235.48,-9.25
Cav1,880.0,-56.49,-27.75
Cav1,880.0,-53.03,-18.5
Cav1,880.0,-49.57,-9.25
Cav1,880.0,-5.12,0
Cav1,880.0,-5.12,10.0
Cav1,880.0,-5.12,20.0
Cav1,880.0,-5.12,30.0
Cav1,880.0,-5.12,40.0
Cav1,880.0,-5.12,50.0
Cav2,960.0,-125.61,-37.0
C0.5,40.0,22.01,0
Cav2,960.0,-118.36,-27.75
Cav2,960.0,-111.12,-18.5
Cav2,960.0,-103.87,-9.25
Cav2,960.0,-10.82,0
Cav2,960.0,-10.82,10.0
Cav2,960.0,-10.82,20.0
Cav2,960.0,-10.82,30.0
Cav2,960.0,-10.82,40.0
Cav2,960.0,-10.82,50.0
C0.5,40.0,22.01,10.0
C0.5,40.0,22.01,20.0
C0.5,40.0,22.01,30.0
C0.5,40.0,22.01,40.0
C0.5,40.0,22.01,50.0
C1,80.0,282.63,-37.0
C1,80.0,266.32,-27.75
C1,80.0,250.01,-18.5
C1,80.0,233.71,-9.25
C1,80.0,21.96,0
C1,80.0,21.96,10.0
C1,80.0,21.96,20.0
C1,80.0,21.96,30.0
C1,80.0,21.96,40.0
C1,80.0,21.96,50.0
C1.5,120.0,279.06,-37.0
C1.5,120.0,262.96,-27.75
C1.5,120.0,246.86,-18.5
C1.5,120.0,230.76,-9.25
C1.5,120.0,21.79,0
C1.5,120.0,21.79,10.0
C1.5,120.0,21.79,20.0
C1.5,120.0,21.79,30.0
C1.5,120.0,21.79,40.0
C1.5,120.0,21.79,50.0
C2,160.0,274.06,-37.0
C2,160.0,258.25,-27.75
C2,160.0,242.44,-18.5
C2,160.0,226.63,-9.25
C2,160.0,21.5,0
C2,160.0,21.5,10.0
C2,160.0,21.5,20.0
C2,160.0,21.5,30.0
C2,160.0,21.5,40.0
C2,160.0,21.5,50.0
C2.5,200.0,267.64,-37.0
C2.5,200.0,252.2,-27.75
C2.5,200.0,236.76,-18.5
C2.5,200.0,221.32,-9.25
C2.5,200.0,21.1,0
C2.5,200.0,21.1,10.0
C2.5,200.0,21.1,20.0
C2.5,200.0,21.1,30.0
C2.5,200.0,21.1,40.0
C2.5,200.0,21.1,50.0
C3,240.0,259.79,-37.0
C3,240.0,244.8,-27.75
C3,240.0,229.81,-18.5
C3,240.0,214.82,-9.25
C3,240.0,20.58,0
C3,240.0,20.58,10.0
C3,240.0,20.58,20.0
C3,240.0,20.58,30.0
C3,240.0,20.58,40.0
C3,240.0,20.58,50.0
C3.5,280.0,250.51,-37.0
C3.5,280.0,236.06,-27.75
C3.5,280.0,221.6,-18.5
C3.5,280.0,207.15,-9.25
C3.5,280.0,19.94,0
C3.5,280.0,19.94,10.0
C3.5,280.0,19.94,20.0
C3.5,280.0,19.94,30.0
C3.5,280.0,19.94,40.0
C3.5,280.0,19.94,50.0
C4,320.0,239.8,-37.0
C0,0.0,285.48,-37.0
C4,320.0,225.97,-27.75
C4,320.0,212.13,-18.5
C4,320.0,198.3,-9.25
C4,320.0,19.18,0
C4,320.0,19.18,10.0
C4,320.0,19.18,20.0
C4,320.0,19.18,30.0
C4,320.0,19.18,40.0
C4,320.0,19.18,50.0
C4.5,360.0,227.67,-37.0
